,value
0,0
1,1
2,0
3,0
4,0
5,3
6,0
7,0
8,0
9,1
10,0
11,3
12,0
13,0
14,0
15,3
16,0
17,0
18,2
19,0
20,1
21,1
22,0
24,3
25,2
26,0
27,1
28,3
29,0
30,2
31,0
32,0
33,3
34,0
35,3
36,3
37,0
38,3
39,0
40,3
41,0
42,0
43,3
44,0
45,0
46,2
47,0
48,0
49,3
50,0
51,0
52,1
53,0
54,0
55,3
56,0
57,0
58,3
59,2
60,3
61,2
62,1
63,0
64,0
65,0
66,2
67,2
68,0
69,0
70,0
71,0
72,2
73,2
74,0
75,0
76,3
77,0
78,0
79,0
80,3
81,0
82,3
83,0
84,0
85,1
86,3
87,2
88,0
89,0
90,0
91,0
92,0
93,0
94,1
95,3
96,1
97,0
98,1
99,2
100,0
101,0
102,0
103,3
104,0
105,3
106,0
107,0
