,t_16
0,0
1,1
2,0
3,0
4,2
5,3
6,0
7,2
8,0
9,0
10,0
11,0
12,0
13,1
14,0
15,2
16,0
17,2
18,1
19,0
20,1
21,0
22,1
24,1
25,3
26,0
27,1
28,3
29,0
30,1
31,0
32,0
33,2
34,0
35,3
36,2
37,0
38,3
39,0
40,3
41,0
42,0
43,3
44,1
45,0
46,0
47,2
48,0
49,3
50,0
51,0
52,2
53,0
54,0
55,3
56,0
57,0
58,0
59,0
60,0
61,3
62,1
63,2
64,1
65,0
66,0
67,2
68,0
69,0
70,0
71,0
72,2
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,2
81,1
82,3
83,0
84,0
85,0
86,0
87,0
88,0
89,3
90,0
91,0
92,0
93,0
94,0
95,1
96,1
97,0
98,1
99,0
100,1
101,0
102,0
103,3
104,0
105,3
106,0
107,0
