,value
0,0
1,1
2,0
3,0
4,1
5,3
6,0
7,0
8,0
9,3
10,0
11,0
12,0
13,0
14,0
15,3
16,0
17,0
18,2
19,0
20,2
21,0
22,0
24,0
25,1
26,0
27,0
28,1
29,0
30,1
31,1
32,0
33,1
34,0
35,3
36,3
37,0
38,2
39,0
40,3
41,0
42,0
43,3
44,3
45,0
46,0
47,0
48,0
49,3
50,0
51,0
52,0
53,1
54,0
55,3
56,0
57,0
58,1
59,0
60,3
61,3
62,1
63,2
64,0
65,0
66,3
67,3
68,0
69,0
70,0
71,0
72,3
73,0
74,0
75,0
76,1
77,0
78,0
79,0
80,3
81,1
82,3
83,0
84,0
85,1
86,2
87,0
88,1
89,3
90,0
91,0
92,0
93,0
94,1
95,3
96,2
97,0
98,0
99,0
100,0
101,0
102,0
103,3
104,0
105,1
106,0
107,0
